songID,songTitle,albumID,songLength,songWriter,topRank,rankDate,userComment
1,Where The Fence Is Low,1,244,Lights Poxleitner,,,
2,Banner,1,220,Lights Poxleitner,,,
3,Siberia,1,261,Lights Poxleitner,,,
4,Toes,1,211,Lights Poxleitner,49,2012-08-18,
5,Face Up,1,220,Lights Poxleitner,,,
6,Cactus In The Valley,1,206,Lights Poxleitner,,,
7,In The Dark I See,1,194,Lights Poxleitner,,,
8,Old Town Road - Remix,2,157,Montero Lamar Hill & Billy Ray Cyrus,1,2019-04-13,
9,Panini,2,114,Montero Lamar Hill,5,2019-09-28,
10,F9mily (You & Me),2,162,Montero Lamar Hill & Travis Barker,6,2019-07-06,
11,Kick It,2,141,Montero Lamar Hill,,,
12,Rodeo,2,158,Montero Lamar Hill & Belcalis Almanzar,22,2019-07-06,
13,Bring U Down,2,131,Montero Lamar Hill,,,
14,C7osure (You Like),2,148,Montero Lamar Hill,14,2019-07-13,
15,Old Town Road,2,113,Montero Lamar Hill,1,2019-04-13,
16,Skydiving (Cliff Recording),3,237,Lights Poxleitner,,,
17,Until the Light (Truck Cab Recording),3,214,Lights Poxleitner,,,
18,Savage (Rain Recording),3,244,Lights Poxleitner,,,
19,New Fears (Bedroom Recording),3,274,Lights Poxleitner,,,
20,We Were Here (Tunnel Recording),3,255,Lights Poxleitner,21,2018-04-28,
21,Kicks (River Recording) ,3,256,Lights Poxleitner,,,
22,Almost Had Me (Desert Recording),3,280,Lights Poxleitner,,,
23,Tabs,3,220,Lights Poxleitner,,,
24,Lost Girls,3,211,Lights Poxleitner,,,
25,Ur,4,235,Solana Rowe,,,
26,Childs Play,4,216,Solana Rowe & Chancelor Bennett,,,
27,Julia,4,219,Solana Rowe,,,
28,Warm Winds,4,350,Solana Rowe & Isaiah McClain,,,
29,HiiiJack,4,222,Solana Rowe,,,
30,Green Mile,4,214,Solana Rowe,,,
31,Babylon,4,234,Solana Rowe & Kendrick Lamar,,,
32,Sweet November,4,243,Solana Rowe,,,
33,Shattered Ring,4,245,Solana Rowe,,,
34,Omega,4,263,Solana Rowe,,,
35,pink diamond,5,124,Charlotte Aitchison,,,
36,forever,5,243,Charlotte Aitchison,,,
37,claws,5,149,Charlotte Aitchison,,,
38,7 years,5,195,Charlotte Aitchison,,,
39,detonate,5,219,Charlotte Aitchison,,,
40,enemy,5,222,Charlotte Aitchison,,,
41,I finally understand,5,151,Charlotte Aitchison,,,
42,c2.0,5,220,Charlotte Aitchison,,,
43,party 4 u,5,296,Charlotte Aitchison,,,
44,anthems,5,171,Charlotte Aitchison,,,
45,visions,5,229,Charlotte Aitchison,,,
46,imagine,6,221,Ariana Grande,21,2019-02-23,
47,needy,6,171,Ariana Grande,14,2019-02-23,
48,NASA,6,182,Ariana Grande,17,2019-02-23,
49,bloodline,6,216,Ariana Grande,22,2019-02-23,
50,fake smile,6,208,Ariana Grande,26,2019-02-23,
51,bad idea,6,267,Ariana Grande,27,2019-02-23,
52,make up,6,140,Ariana Grande,48,2019-02-23,
53,ghostin,6,271,Ariana Grande,25,2019-02-23,
54,in my head,6,222,Ariana Grande,38,2019-02-23,
55,7 rings,6,178,Ariana Grande,1,2019-02-02,
56,"thank u, next",6,207,Ariana Grande,1,2018-11-17,
57,"break up with your girlfriend, I'm bored",6,190,Ariana Grande,1,2019-02-23,
58,I'm the Best,7,216,Onika Maraj,,,
59,Roman's Revenge,7,276,Onika Maraj & Marshall Mathers,56,2010-11-20,
60,Did It On'em,7,212,Onika Maraj,49,2011-04-30,
61,Right Thru Me,7,235,Onika Maraj,26,2010-12-25,
62,Save Me,7,185,Onika Maraj,,,
63,Here I Am,7,175,Onika Maraj,,,
64,Dear Old Nicki,7,233,Onika Maraj,,,
65,Your Love,7,245,Onika Maraj,14,2010-08-07,
66,Last Chance,7,231,Onika Maraj,,,
67,Aura,8,235,Stefani Germanotta,,,
68,Venus,8,233,Stefani Germanotta,32,2013-11-16,
69,G.U.Y.,8,232,Stefani Germanotta,76,14-04-12,
70,Sexxx Dreams,8,214,Stefani Germanotta,,,
71,MANiCURE,8,199,Stefani Germanotta,,,
72,ARTPOP,8,247,Stefani Germanotta,,,
73,Swine,8,268,Stefani Germanotta,,,
74,Donatella,8,264,Stefani Germanotta,,,
75,Fashion!,8,239,Stefani Germanotta,,,
76,Dope,8,221,Stefani Germanotta,8,2013-11-23,
77,Applause,8,212,Stefani Germanotta,4,2013-09-07,
78,Woman,9,172,Amala Dlamini,9,2022-04-02,
79,Naked,9,223,Amala Dlamini,,,
80,Get Into It (Yuh),9,138,Amala Dlamini,68,2021-09-04,
81,Need to know,9,210,Amala Dlamini,8,2021-11-13,
82,I Don't Do Drugs,9,188,Amala Dlamini & Ariana Grande,57,2021-07-10,
83,Love To Dream,9,216,Amala Dlamini,,,
84,You Right,9,186,Amala Dlamini,11,2021-07-10,
85,Been Like This,9,177,Amala Dlamini,,,
86,Ain't Shit,9,174,Amala Dlamini,24,2021-07-10,
87,Imagine,9,148,Amala Dlamini,,,
88,Alone,9,228,Amala Dlamini,,,
89,Kiss Me More,9,208,Amala Dlamini & Solana Rowe,3,2021-07-10,
90,shut up,10,157,Ariana Grande,47,2020-11-14,
91,34+35,10,173,Ariana Grande,2,2021-01-30,
92,motive,10,167,Ariana Grande & Amala Dlamini,32,2020-11-14,
93,just like magic,10,149,Ariana Grande,43,2020-11-14,
94,six thirty,10,183,Ariana Grande,63,2020-11-14,
95,my hair,10,158,Ariana Grande,65,2020-11-14,
96,nasty,10,200,Ariana Grande,49,2020-11-14,
97,west side,10,132,Ariana Grande,71,2020-11-14,
98,love language,10,179,Ariana Grande,75,2020-11-14,
99,positions,10,172,Ariana Grande,1,2020-11-07,
100,obvious,10,146,Ariana Grande,70,2020-11-14,
101,pov,10,201,Ariana Grande,27,2021-07-03,
102,Supermodel,11,181,Solana Rowe,,,
103,Drew Barrymore,11,231,Solana Rowe,,,
104,Prom,11,196,Solana Rowe,,,
105,The Weekend,11,272,Solana Rowe,29,2018-01-03,
106,Go Gina,11,161,Solana Rowe,,,
107,Garden (Say It Like Dat),11,208,Solana Rowe,,,
108,Broken Clocks,11,231,Solana Rowe,82,2018-04-14,
109,Anything,11,149,Solana Rowe,,,
110,Normal Girl,11,253,Solana Rowe,,,
111,20 Something,11,198,Solana Rowe,,,
112,Beside Myself,12,251,Lights Poxleitner,,,
113,Prodigal Daughter,12,175,Lights Poxleitner,,,
114,Salt and Vinegar,12,195,Lights Poxleitner,,,
115,Jaws,12,197,Lights Poxleitner,,,
116,Rent,12,206,Lights Poxleitner,,,
117,Sparky,12,207,Lights Poxleitner,,,
118,Easy Money,12,206,Lights Poxleitner,,,
119,Okay Okay,12,200,Lights Poxleitner,,,
120,Voices Carry,12,219,Lights Poxleitner,,,
121,Grip,12,190,Lights Poxleitner,,,
